번호,문항,답안,해설
19,사업자가 독자적으로 입찰대상공사에 관한 관련업계의 정보를 수집하는 영업활동 행위는 담합이 아니다.,O,사업자가 독자적으로 입찰대상공사에 관한 관련업계의 정보를 수집하는 영업활동 행위는 담합이 아니다.
20,사업자가 공동으로 단순히 발주처가 공표한 설계공사금액의 계산에 대해 조사하는 행위는 담합이다.,X,사업자가 공동으로 단순히 발주처가 공표한 설계공사금액의 계산에 대해 조사하는 행위는 담합이 아니다.
21,개별사업자의 수주실적 등을 정리하여 낙찰예정자 선정의 우선순위를 정하고 입찰에 참가하려는 사업자들이 이에 협조토록 강요하는 행위는 담합이 될 수 있다.,O,"개별사업자의 지명회수, 수주실적 등을 정리하여 낙찰예정자 선정의 우선순위를 정하고 입찰에 참가하려는 사업자들이 이에 협조토록 강요하는 행위는 담합이 될 수 있다."
22,특정업체들간에 일정한 범위내의 공사를 교대로 수주하는 형태로 입찰에 참가하여 특정업체의 낙찰을 밀어주는 행위는 담합이 될 수 있다.,O, 특정업체들간에 일정한 범위내의 공사를 교대로 수주하는 형태로 입찰에 참가하여 특정업체의 낙찰을 밀어주는 행위는 담합이 될 수 있다.
23,"낙찰에서 배제된 사업자가 공동으로 낙찰자선정에 협조한 대가로 낙찰사업자에게 사례금 또는 특별회비, 부과금 등을 징수하는 행위는 담합이 될 수 있다.",O,"낙찰에서 배제된 사업자가 공동으로 낙찰자선정에 협조한 대가로 낙찰사업자에게 사례금 또는 특별회비, 부과금 등을 징수하는 행위는 담합이 될 수 있다."
24, 발주처가 제시하는 설계단가가 낮아 수익성이 없다는 등의 이유로 자주적 판단에 의해 입찰참가를 하지 않는 행위는 담합이 아니다.,O, 발주처가 제시하는 설계단가가 낮아 수익성이 없다는 등의 이유로 자주적 판단에 의해 입찰참가를 하지 않는 행위는 담합이 아니다.
25,사업자가 공동으로 당해입찰을 수의계약으로 유도할 것을 합의하고 입찰참가자 모두 예정가격보다 높은 가격에 의해 계속적으로 유찰시키는 것은 판매목표강제이다.,X,사업자가 공동으로 당해입찰을 수의계약으로 유도할 것을 합의하고 입찰참가자 모두 예정가격보다 높은 가격에 의해 계속적으로 유찰시키거나 입찰참가를 의도적으로 거부하는 행위는 담합이 될 수 있다.
26,1차 입찰에만 참여하고 같은 입찰조건이하에서는 수주할 여건이 안되어 재입찰에는 참가하지 않는 경우는 담합이 아니다.,O,1차 입찰에만 참여하고 같은 입찰조건이하에서는 수주할 여건이 안되어 재입찰에는 참가하지 않는 경우는 담합이 아니다.
27,사업자가 공동으로 수주물량 배분등의 결정에 비협조적인 사업자에 대해 입찰참가를 방해하거나 불이익 제공 등의 차별적 취급을 하는 행위는 담합이 될 수 있다.,O,사업자가 공동으로 수주물량 배분등의 결정에 비협조적인 사업자에 대해 입찰참가를 방해하거나 기타 불이익 제공 등의 차별적 취급을 하는 행위는 담합이 될 수 있다.
28, 단독으로 사업을 수행할 수 있음에도 불구하고 낙찰희망물량을 일부러 적게 제시하여 다른 사업자와의 공동수주를 유도하는 행위는 담합이 될 수 있다.,O, 단독으로 사업을 수행할 수 있음에도 불구하고 낙찰희망물량을 일부러 적게 제시하여 다른 사업자와의 공동수주를 유도하는 행위는 담합이 될 수 있다.
29,사업자가 공동으로 사전에 입찰참여자로 하여금 특정사업자로부터의 자재구입 사용조건 등을 정하여 입찰에 참여케 하는 행위는 담합이 될 수 있다.,O,사업자가 공동으로 사전에 입찰참여자로 하여금 특정사업자로부터의 자재구입 사용조건 등을 정하여 입찰에 참여케 하는 행위는 담합이 될 수 있다.
